City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Poum,NC,-20.2333,164.0167,77.47,88,100,14.12,overcast clouds
324,Myaundzha,RU,63.0494,147.1858,-21.8,87,74,1.88,broken clouds
325,Grants Pass,US,42.439,-123.3284,43.9,90,0,0.0,clear sky
326,Yangjiang,CN,21.85,111.9667,73.06,85,3,1.77,clear sky
327,Newport,GB,51.5877,-2.9984,55.08,73,66,1.99,broken clouds
328,Panzhihua,CN,26.5851,101.7128,61.3,77,94,4.32,overcast clouds
329,Fairbanks,US,64.8378,-147.7164,1.36,76,0,3.44,clear sky
330,Guane,CU,22.2025,-84.0875,85.71,51,0,8.37,clear sky
331,Deder,ET,9.3167,41.45,64.38,47,39,8.43,scattered clouds
332,Xuddur,SO,4.1213,43.8894,88.48,20,13,10.65,few clouds
333,Ugoofaaru,MV,5.6667,73.0,83.91,73,100,9.37,overcast clouds
334,Zheleznodorozhnyy,RU,55.7503,38.0042,32.52,90,38,3.27,scattered clouds
335,Suleja,NG,9.1758,7.1808,97.79,9,100,4.85,overcast clouds
336,Ban Bung,TH,18.3081,100.7044,75.31,83,50,3.67,scattered clouds
337,Mount Isa,AU,-20.7333,139.5,74.97,43,2,0.0,light rain
338,Casalmaggiore,IT,44.9939,10.4189,58.21,57,100,6.04,overcast clouds
339,Pachino,IT,36.7186,15.0907,55.83,77,95,19.57,overcast clouds
340,Lorengau,PG,-2.0226,147.2712,82.56,70,29,11.1,scattered clouds
341,Bantry,IE,51.6833,-9.45,53.78,69,13,12.73,few clouds
342,Joshimath,IN,30.5667,79.5667,57.02,42,92,9.28,overcast clouds
343,Moranbah,AU,-22.0016,148.0466,69.3,79,96,10.8,overcast clouds
344,Omsukchan,RU,62.5333,155.8,-13.18,65,7,4.27,clear sky
345,Saint Stephen,GB,50.3333,-4.9,57.15,71,20,14.97,few clouds
